Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),letter_freq_score,letter_dup,word_freq_score,word_sim,bigram_freq_score
2022-01-07,202,slump,80630,1362,1.0,3.0,23.0,39.0,24.0,9.0,1.0,-16.8682423973236,0,-12.986958740398126,6.0,87.95596591647848
2022-01-08,203,crank,101503,1763,1.0,5.0,23.0,31.0,24.0,14.000000000000002,2.0,-15.836296022160912,0,-12.41186755850977,12.0,91.69327321855967
2022-01-09,204,gorge,91477,1913,1.0,3.0,13.0,27.0,30.0,22.0,4.0,-14.43565577122117,1,-12.895227804820582,5.0,91.21116700254989
2022-01-10,205,query,107134,2242,1.0,4.0,16.0,30.0,30.0,17.0,2.0,-18.830648701918598,0,-12.340747548856775,1.0,91.74378371509509
2022-01-11,206,drink,153880,3017,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,-15.917467058882611,0,-9.441012189711184,4.0,91.39696279201677
2022-01-12,207,favor,137586,3073,1.0,4.0,15.0,26.0,28.999999999999996,21.0,4.0,-16.406686886663167,0,-10.177924398237888,2.0,90.45749461050497
2022-01-13,208,abbey,132726,3345,1.0101010101010102,2.0202020202020203,13.131313131313133,29.292929292929294,31.313131313131315,20.2020202020202,3.0303030303030303,-16.73691040357558,1,-11.788678966556736,3.0,87.77244351278456
2022-01-14,209,tangy,169484,3985,1.0,4.0,21.0,30.0,24.0,15.0,5.0,-15.731823862184296,0,-14.64333264185082,10.0,92.60038016504949
2022-01-15,210,panic,205880,4655,0.9900990099009901,8.91089108910891,34.65346534653465,33.663366336633665,15.841584158415841,4.9504950495049505,0.9900990099009901,-15.896755817623475,0,-10.914088963881525,2.0,94.36758417764608
2022-01-16,211,solar,209609,4955,1.0,9.0,32.0,32.0,18.0,7.000000000000001,1.0,-13.419212659757495,0,-10.29209554357787,12.0,93.75406304664106
2022-01-17,212,shire,222197,5640,0.9900990099009901,7.920792079207921,31.683168316831683,31.683168316831683,17.82178217821782,7.920792079207921,1.9801980198019802,-12.897471239183558,0,-12.733705387612545,13.0,94.28815590176617
2022-01-18,213,proxy,220950,6206,0.9900990099009901,1.9801980198019802,10.891089108910892,23.762376237623762,30.693069306930692,25.742574257425744,5.9405940594059405,-19.94363979519101,0,-12.134682649443501,2.0,85.23783206571623
2022-01-19,214,point,280622,7094,1.0101010101010102,16.161616161616163,37.37373737373738,28.28282828282828,12.121212121212121,4.040404040404041,1.0101010101010102,-15.00928033356433,0,-7.966185778017415,6.0,93.72821738463276
2022-01-20,215,robot,243964,6589,0.9900990099009901,7.920792079207921,28.71287128712871,33.663366336633665,19.801980198019802,7.920792079207921,0.9900990099009901,-14.374269912276269,1,-10.959040351743791,0.0,91.14535703289337
2022-01-21,216,prick,273727,7409,1.0101010101010102,8.080808080808081,30.303030303030305,33.33333333333333,19.19191919191919,7.07070707070707,1.0101010101010102,-17.080399172252044,0,-12.434228738667928,8.0,92.6875729314956
2022-01-22,217,wince,241489,6850,0.9900990099009901,2.9702970297029703,16.831683168316832,32.67326732673268,28.71287128712871,14.85148514851485,2.9702970297029703,-14.962563000431144,0,-14.714452651503816,6.0,94.85023225077151
2022-01-23,218,crimp,269929,7630,1.0,5.0,28.000000000000004,38.0,20.0,7.000000000000001,1.0,-16.723847337005243,0,-14.714452651503816,7.0,91.45412283287259
2022-01-24,219,knoll,258038,8317,1.0,1.0,11.0,28.999999999999996,33.0,21.0,4.0,-15.864576086492509,1,-14.046182375699276,1.0,90.9587129529666
2022-01-25,220,sugar,276404,8708,1.0101010101010102,6.0606060606060606,25.252525252525253,34.34343434343434,23.232323232323232,9.090909090909092,1.0101010101010102,-14.685339300094487,0,-9.946395053547404,2.0,91.18823457456429
2022-01-26,221,whack,302348,10163,1.0,4.0,22.0,37.0,24.0,10.0,2.0,-16.755129900279325,0,-12.825969364350525,4.0,92.25825755864281
2022-01-27,222,mount,331844,11451,1.0101010101010102,9.090909090909092,29.292929292929294,33.33333333333333,19.19191919191919,7.07070707070707,1.0101010101010102,-15.409479063663454,0,-10.4311202946185,5.0,94.132644500334
2022-01-28,223,perky,296968,11148,1.0,4.0,17.0,30.0,27.0,17.0,4.0,-17.007934385049985,0,-13.930921409475602,11.0,88.771595553626
2022-01-29,224,could,313220,11592,0.9900990099009901,6.9306930693069315,28.71287128712871,34.65346534653465,19.801980198019802,7.920792079207921,0.9900990099009901,-15.800683839276116,0,-6.767993336606978,5.0,93.44203287204377
2022-01-30,225,wrung,294687,11524,0.0,2.0,18.0,39.0,27.0,12.0,2.0,-16.092548624674492,0,-15.289543833392171,4.0,89.73672932313444
2022-01-31,226,light,341314,13347,1.0101010101010102,10.1010101010101,25.252525252525253,27.27272727272727,19.19191919191919,12.121212121212121,5.05050505050505,-14.662252994114784,0,-8.449534542942423,15.0,90.89280684111878
2022-02-01,227,those,351663,13606,1.0,13.0,34.0,30.0,15.0,6.0,1.0,-12.707009842180534,0,-7.138427096717138,4.0,95.48646970473223
2022-02-02,228,moist,361908,14205,2.9702970297029703,12.871287128712872,31.683168316831683,28.71287128712871,15.841584158415841,6.9306930693069315,0.9900990099009901,-14.45760276499039,0,-12.226275352847694,8.0,92.901504583328
2022-02-03,229,shard,358176,14609,0.9900990099009901,6.9306930693069315,21.782178217821784,27.722772277227726,24.752475247524753,13.861386138613863,3.9603960396039604,-13.93497196738538,0,-13.815510557964274,9.0,93.42620613016038
2022-02-04,230,pleat,359679,14813,1.0,10.0,28.000000000000004,31.0,19.0,9.0,2.0,-14.190583203547156,0,-15.679840720027164,5.0,94.74984855916969
2022-02-05,231,aloft,319698,13708,0.9900990099009901,3.9603960396039604,21.782178217821784,35.64356435643564,24.752475247524753,10.891089108910892,1.9801980198019802,-14.874499898262876,0,-13.633189001170319,1.0,93.04018779031705
2022-02-06,232,skill,311018,13716,1.0,3.0,17.0,33.0,27.0,16.0,3.0,-15.596356226895033,1,-10.545941618780555,7.0,89.30243086151177
2022-02-07,233,elder,288228,13340,1.0,3.0,13.0,24.0,30.0,24.0,5.0,-13.031304291789745,1,-11.37316352259507,5.0,94.68851686940106
2022-02-08,234,frame,336236,15369,1.0101010101010102,10.1010101010101,20.2020202020202,24.242424242424242,24.242424242424242,17.17171717171717,3.0303030303030303,-15.254604855362805,0,-10.177924398237888,7.0,92.83922191647258
2022-02-09,235,humor,305372,13846,1.0,5.0,22.0,34.0,25.0,11.0,2.0,-15.325041723438972,0,-11.074670534039074,2.0,90.82040646617679
2022-02-10,236,pause,304830,13480,1.0,8.0,26.0,32.0,21.0,10.0,2.0,-14.709524289639356,0,-11.512925464970229,5.0,92.1337928696376
2022-02-11,237,ulcer,278826,10631,1.0,4.0,18.0,30.0,28.000000000000004,16.0,3.0,-14.428639199661106,0,-13.747851909490459,0.0,91.0386512949075
2022-02-12,238,ultra,269885,9310,1.0,7.000000000000001,23.0,34.0,24.0,10.0,1.0,-13.97740168870013,0,-10.982297213908058,0.0,91.86650809859057
2022-02-13,239,robin,277471,3249,1.0,6.0,28.999999999999996,34.0,21.0,8.0,1.0,-15.01231561862824,0,-10.752119635936468,3.0,92.24454296883283
2022-02-14,240,cynic,261521,10343,1.0,6.0,25.0,33.0,22.0,11.0,2.0,-16.790897297918985,1,-14.25246633316381,1.0,87.3069486566138
2022-02-15,241,aroma,287836,10343,1.0,6.0,25.0,33.0,22.0,11.0,2.0,-14.322452872925052,1,-13.284882306902103,4.0,94.82777244486671
2022-02-16,242,caulk,289721,10740,1.0,4.0,20.0,31.0,26.0,15.0,3.0,-16.6296587584697,0,-15.450266278382664,4.0,88.51371558373398
2022-02-17,243,shake,342003,12767,1.0,6.0,16.0,23.0,24.0,21.0,9.0,-14.38245206384419,0,-10.752119635936468,13.0,91.21878882644579
2022-02-18,244,dodge,265238,10220,0.9900990099009901,2.9702970297029703,14.85148514851485,28.71287128712871,26.732673267326735,18.81188118811881,6.9306930693069315,-14.98581913266616,1,-11.674268615378992,6.0,88.51967330561253
2022-02-19,245,swill,282327,11241,1.0,1.0,8.0,19.0,31.0,30.0,10.0,-14.981938809589268,1,-15.3809315849816,8.0,90.12687804832994
2022-02-20,246,tacit,273306,11094,0.9900990099009901,3.9603960396039604,20.792079207920793,31.683168316831683,25.742574257425744,13.861386138613863,2.9702970297029703,-13.821909681130222,1,-13.953623860093908,1.0,93.65987967913524
2022-02-21,247,other,278731,10887,1.0101010101010102,9.090909090909092,26.262626262626267,30.303030303030305,21.21212121212121,10.1010101010101,2.0202020202020203,-12.64982461073983,0,-6.536191722549654,4.0,98.54256855618564
2022-02-22,248,thorn,306356,11814,1.0101010101010102,14.14141414141414,38.38383838383838,30.303030303030305,12.121212121212121,4.040404040404041,0.0,-13.557714514193068,0,-12.710253726577497,3.0,95.20858331537046
2022-02-23,249,trove,277576,11411,0.9900990099009901,4.9504950495049505,15.841584158415841,23.762376237623762,24.752475247524753,21.782178217821784,7.920792079207921,-14.2426013148649,0,-13.72020037815995,8.0,93.15940945425147
2022-02-24,250,bloke,250674,10405,1.0101010101010102,6.0606060606060606,21.21212121212121,32.323232323232325,25.252525252525253,12.121212121212121,2.0202020202020203,-15.958400074321489,0,-12.54856295447695,3.0,89.55836615263061
2022-02-25,251,vivid,255907,11687,1.0,2.0,10.0,28.999999999999996,33.0,21.0,4.0,-17.814928064350987,1,-12.089178894058675,2.0,91.16343316817307
2022-02-26,252,spill,248363,10087,1.0,5.0,26.0,34.0,22.0,10.0,2.0,-15.401082882313919,1,-11.881094788334696,10.0,91.10985093664603
2022-02-27,253,chant,250413,10438,1.0,9.0,33.0,33.0,16.0,7.000000000000001,1.0,-14.37690781955996,0,-12.434228738667928,6.0,96.38429869785794
2022-02-28,254,choke,251094,10521,1.0,8.0,30.0,36.0,18.0,6.0,1.0,-15.3020816805094,0,-12.157282481360742,6.0,90.72463256102664
2022-03-01,255,rupee,240137,10577,1.0,2.0,17.0,35.0,30.0,13.0,2.0,-14.137290313730972,1,-13.72020037815995,0.0,90.48963181205653
